Instruction Name,Opcode,Instruction,64-bit validity,32-bit validity,CpuId Flags
VPSRAD,EVEX.128.66.0F.W0 72 /4 /ib,"VPSRAD xmm1 {k1}{z}, xmm2/m128/m32bcst, imm8",V,V,AVX512VL|AVX512F
VPSRAD,EVEX.256.66.0F.W0 72 /4 /ib,"VPSRAD ymm1 {k1}{z}, ymm2/m256/m32bcst, imm8",V,V,AVX512VL|AVX512F
VPSRAD,EVEX.512.66.0F.W0 72 /4 /ib,"VPSRAD zmm1 {k1}{z}, zmm2/m512/m32bcst, imm8",V,V,AVX512F
VPSRAQ,EVEX.128.66.0F.W1 E2 /r,"VPSRAQ xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512F
VPSRAQ,EVEX.256.66.0F.W1 E2 /r,"VPSRAQ ymm1 {k1}{z}, ymm2, xmm3/m128",V,V,AVX512VL|AVX512F
VPSRAQ,EVEX.512.66.0F.W1 E2 /r,"VPSRAQ zmm1 {k1}{z}, zmm2, xmm3/m128",V,V,AVX512F
VPSRAQ,EVEX.128.66.0F.W1 72 /4 /ib,"VPSRAQ xmm1 {k1}{z}, xmm2/m128/m64bcst, imm8",V,V,AVX512VL|AVX512F
VPSRAQ,EVEX.256.66.0F.W1 72 /4 /ib,"VPSRAQ ymm1 {k1}{z}, ymm2/m256/m64bcst, imm8",V,V,AVX512VL|AVX512F
VPSRAQ,EVEX.512.66.0F.W1 72 /4 /ib,"VPSRAQ zmm1 {k1}{z}, zmm2/m512/m64bcst, imm8",V,V,AVX512F
PSRLDQ,66 0F 73 /3 /ib,"PSRLDQ xmm1 , imm8",V,V,SSE2
VPSRLDQ,VEX.128.66.0F.WIG 73 /3 /ib,"VPSRLDQ xmm1, xmm2, imm8",V,V,AVX
VPSRLDQ,VEX.256.66.0F.WIG 73 /3 /ib,"VPSRLDQ ymm1, ymm2, imm8",V,V,AVX2
VPSRLDQ,EVEX.128.66.0F.WIG 73 /3 /ib,"VPSRLDQ xmm1, xmm2/m128, imm8",V,V,AVX512VL|AVX512BW
VPSRLDQ,EVEX.256.66.0F.WIG 73 /3 /ib,"VPSRLDQ ymm1, ymm2/m256, imm8",V,V,AVX512VL|AVX512BW
VPSRLDQ,EVEX.512.66.0F.WIG 73 /3 /ib,"VPSRLDQ zmm1, zmm2/m512, imm8",V,V,AVX512BW
PSRLW,NP 0F D1 /r,"PSRLW mm, mm/m64",V,V,MMX
PSRLW,66 0F D1 /r,"PSRLW xmm1 , xmm2/m128",V,V,SSE2
PSRLW,NP 0F 71 /2 /ib,"PSRLW mm, imm8",V,V,MMX
PSRLW,66 0F 71 /2 /ib,"PSRLW xmm1 , imm8",V,V,SSE2
PSRLD,NP 0F D2 /r,"PSRLD mm, mm/m64",V,V,MMX
PSRLD,66 0F D2 /r,"PSRLD xmm1 , xmm2/m128",V,V,SSE2
PSRLD,NP 0F 72 /2 /ib,"PSRLD mm, imm8",V,V,MMX
PSRLD,66 0F 72 /2 /ib,"PSRLD xmm1 , imm8",V,V,SSE2
PSRLQ,NP 0F D3 /r,"PSRLQ mm, mm/m64",V,V,MMX
PSRLQ,66 0F D3 /r,"PSRLQ xmm1 , xmm2/m128",V,V,SSE2
PSRLQ,NP 0F 73 /2 /ib,"PSRLQ mm, imm8",V,V,MMX
PSRLQ,66 0F 73 /2 /ib,"PSRLQ xmm1 , imm8",V,V,SSE2
VPSRLW,VEX.128.66.0F.WIG D1 /r,"VPSRLW xmm1, xmm2, xmm3/m128",V,V,AVX
VPSRLW,VEX.128.66.0F.WIG 71 /2 /ib,"VPSRLW xmm1, xmm2, imm8",V,V,AVX
VPSRLD,VEX.128.66.0F.WIG D2 /r,"VPSRLD xmm1, xmm2, xmm3/m128",V,V,AVX
VPSRLD,VEX.128.66.0F.WIG 72 /2 /ib,"VPSRLD xmm1, xmm2, imm8",V,V,AVX
VPSRLQ,VEX.128.66.0F.WIG D3 /r,"VPSRLQ xmm1, xmm2, xmm3/m128",V,V,AVX
VPSRLQ,VEX.128.66.0F.WIG 73 /2 /ib,"VPSRLQ xmm1, xmm2, imm8",V,V,AVX
VPSRLW,VEX.256.66.0F.WIG D1 /r,"VPSRLW ymm1, ymm2, xmm3/m128",V,V,AVX2
VPSRLW,VEX.256.66.0F.WIG 71 /2 /ib,"VPSRLW ymm1, ymm2, imm8",V,V,AVX2
VPSRLD,VEX.256.66.0F.WIG D2 /r,"VPSRLD ymm1, ymm2, xmm3/m128",V,V,AVX2
VPSRLD,VEX.256.66.0F.WIG 72 /2 /ib,"VPSRLD ymm1, ymm2, imm8",V,V,AVX2
VPSRLQ,VEX.256.66.0F.WIG D3 /r,"VPSRLQ ymm1, ymm2, xmm3/m128",V,V,AVX2
VPSRLQ,VEX.256.66.0F.WIG 73 /2 /ib,"VPSRLQ ymm1, ymm2, imm8",V,V,AVX2
VPSRLW,EVEX.128.66.0F.WIG D1 /r,"VPSRLW xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSRLW,EVEX.256.66.0F.WIG D1 /r,"VPSRLW ymm1 {k1}{z}, ymm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSRLW,EVEX.512.66.0F.WIG D1 /r,"VPSRLW zmm1 {k1}{z}, zmm2, xmm3/m128",V,V,AVX512BW
VPSRLW,EVEX.128.66.0F.WIG 71 /2 /ib,"VPSRLW xmm1 {k1}{z}, xmm2/m128, imm8",V,V,AVX512VL|AVX512BW
VPSRLW,EVEX.256.66.0F.WIG 71 /2 /ib,"VPSRLW ymm1 {k1}{z}, ymm2/m256, imm8",V,V,AVX512VL|AVX512BW
VPSRLW,EVEX.512.66.0F.WIG 71 /2 /ib,"VPSRLW zmm1 {k1}{z}, zmm2/m512, imm8",V,V,AVX512BW
VPSRLD,EVEX.128.66.0F.W0 D2 /r,"VPSRLD xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512F
VPSRLD,EVEX.256.66.0F.W0 D2 /r,"VPSRLD ymm1 {k1}{z}, ymm2, xmm3/m128",V,V,AVX512VL|AVX512F
VPSRLD,EVEX.512.66.0F.W0 D2 /r,"VPSRLD zmm1 {k1}{z}, zmm2, xmm3/m128",V,V,AVX512F
VPSRLD,EVEX.128.66.0F.W0 72 /2 /ib,"VPSRLD xmm1 {k1}{z}, xmm2/m128/m32bcst, imm8",V,V,AVX512VL|AVX512F
VPSRLD,EVEX.256.66.0F.W0 72 /2 /ib,"VPSRLD ymm1 {k1}{z}, ymm2/m256/m32bcst, imm8",V,V,AVX512VL|AVX512F
VPSRLD,EVEX.512.66.0F.W0 72 /2 /ib,"VPSRLD zmm1 {k1}{z}, zmm2/m512/m32bcst, imm8",V,V,AVX512F
VPSRLQ,EVEX.128.66.0F.W1 D3 /r,"VPSRLQ xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512F
VPSRLQ,EVEX.256.66.0F.W1 D3 /r,"VPSRLQ ymm1 {k1}{z}, ymm2, xmm3/m128",V,V,AVX512VL|AVX512F
VPSRLQ,EVEX.512.66.0F.W1 D3 /r,"VPSRLQ zmm1 {k1}{z}, zmm2, xmm3/m128",V,V,AVX512F
VPSRLQ,EVEX.128.66.0F.W1 73 /2 /ib,"VPSRLQ xmm1 {k1}{z}, xmm2/m128/m64bcst, imm8",V,V,AVX512VL|AVX512F
VPSRLQ,EVEX.256.66.0F.W1 73 /2 /ib,"VPSRLQ ymm1 {k1}{z}, ymm2/m256/m64bcst, imm8",V,V,AVX512VL|AVX512F
VPSRLQ,EVEX.512.66.0F.W1 73 /2 /ib,"VPSRLQ zmm1 {k1}{z}, zmm2/m512/m64bcst, imm8",V,V,AVX512F
PSUBB,NP 0F F8 /r,"PSUBB mm, mm/m64",V,V,MMX
PSUBB,66 0F F8 /r,"PSUBB xmm1 , xmm2/m128",V,V,SSE2
PSUBW,NP 0F F9 /r,"PSUBW mm, mm/m64",V,V,MMX
PSUBW,66 0F F9 /r,"PSUBW xmm1 , xmm2/m128",V,V,SSE2
PSUBD,NP 0F FA /r,"PSUBD mm, mm/m64",V,V,MMX
PSUBD,66 0F FA /r,"PSUBD xmm1 , xmm2/m128",V,V,SSE2
VPSUBB,VEX.128.66.0F.WIG F8 /r,"VPSUBB xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBW,VEX.128.66.0F.WIG F9 /r,"VPSUBW xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBD,VEX.128.66.0F.WIG FA /r,"VPSUBD xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBB,VEX.256.66.0F.WIG F8 /r,"VPSUBB ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBW,VEX.256.66.0F.WIG F9 /r,"VPSUBW ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBD,VEX.256.66.0F.WIG FA /r,"VPSUBD ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBB,EVEX.128.66.0F.WIG F8 /r,"VPSUBB xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSUBB,EVEX.256.66.0F.WIG F8 /r,"VPSUBB ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPSUBB,EVEX.512.66.0F.WIG F8 /r,"VPSUBB zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPSUBW,EVEX.128.66.0F.WIG F9 /r,"VPSUBW xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSUBW,EVEX.256.66.0F.WIG F9 /r,"VPSUBW ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPSUBW,EVEX.512.66.0F.WIG F9 /r,"VPSUBW zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPSUBD,EVEX.128.66.0F.W0 FA /r,"VPSUBD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VPSUBD,EVEX.256.66.0F.W0 FA /r,"VPSUBD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VPSUBD,EVEX.512.66.0F.W0 FA /r,"VPSUBD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst",V,V,AVX512F
PSUBQ,NP 0F FB /r,"PSUBQ mm1 , mm2/m64",V,V,SSE2
PSUBQ,66 0F FB /r,"PSUBQ xmm1 , xmm2/m128",V,V,SSE2
VPSUBQ,VEX.128.66.0F.WIG FB /r,"VPSUBQ xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBQ,VEX.256.66.0F.WIG FB /r,"VPSUBQ ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBQ,EVEX.128.66.0F.W1 FB /r,"VPSUBQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512F
VPSUBQ,EVEX.256.66.0F.W1 FB /r,"VPSUBQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512F
VPSUBQ,EVEX.512.66.0F.W1 FB /r,"VPSUBQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst",V,V,AVX512F
PSUBSB,NP 0F E8 /r,"PSUBSB mm, mm/m64",V,V,MMX
PSUBSB,66 0F E8 /r,"PSUBSB xmm1 , xmm2/m128",V,V,SSE2
PSUBSW,NP 0F E9 /r,"PSUBSW mm, mm/m64",V,V,MMX
PSUBSW,66 0F E9 /r,"PSUBSW xmm1 , xmm2/m128",V,V,SSE2
VPSUBSB,VEX.128.66.0F.WIG E8 /r,"VPSUBSB xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBSW,VEX.128.66.0F.WIG E9 /r,"VPSUBSW xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBSB,VEX.256.66.0F.WIG E8 /r,"VPSUBSB ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBSW,VEX.256.66.0F.WIG E9 /r,"VPSUBSW ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBSB,EVEX.128.66.0F.WIG E8 /r,"VPSUBSB xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSUBSB,EVEX.256.66.0F.WIG E8 /r,"VPSUBSB ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPSUBSB,EVEX.512.66.0F.WIG E8 /r,"VPSUBSB zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPSUBSW,EVEX.128.66.0F.WIG E9 /r,"VPSUBSW xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSUBSW,EVEX.256.66.0F.WIG E9 /r,"VPSUBSW ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPSUBSW,EVEX.512.66.0F.WIG E9 /r,"VPSUBSW zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
PSUBUSB,NP 0F D8 /r,"PSUBUSB mm, mm/m64",V,V,MMX
PSUBUSB,66 0F D8 /r,"PSUBUSB xmm1 , xmm2/m128",V,V,SSE2
PSUBUSW,NP 0F D9 /r,"PSUBUSW mm, mm/m64",V,V,MMX
PSUBUSW,66 0F D9 /r,"PSUBUSW xmm1 , xmm2/m128",V,V,SSE2
VPSUBUSB,VEX.128.66.0F.WIG D8 /r,"VPSUBUSB xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBUSW,VEX.128.66.0F.WIG D9 /r,"VPSUBUSW xmm1, xmm2, xmm3/m128",V,V,AVX
VPSUBUSB,VEX.256.66.0F.WIG D8 /r,"VPSUBUSB ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBUSW,VEX.256.66.0F.WIG D9 /r,"VPSUBUSW ymm1, ymm2, ymm3/m256",V,V,AVX2
VPSUBUSB,EVEX.128.66.0F.WIG D8 /r,"VPSUBUSB xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSUBUSB,EVEX.256.66.0F.WIG D8 /r,"VPSUBUSB ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPSUBUSB,EVEX.512.66.0F.WIG D8 /r,"VPSUBUSB zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPSUBUSW,EVEX.128.66.0F.WIG D9 /r,"VPSUBUSW xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPSUBUSW,EVEX.256.66.0F.WIG D9 /r,"VPSUBUSW ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPSUBUSW,EVEX.512.66.0F.WIG D9 /r,"VPSUBUSW zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
PTEST,66 0F 38 17 /r,"PTEST xmm1, xmm2/m128",V,V,SSE4_1
VPTEST,VEX.128.66.0F38.WIG 17 /r,"VPTEST xmm1, xmm2/m128",V,V,AVX
VPTEST,VEX.256.66.0F38.WIG 17 /r,"VPTEST ymm1, ymm2/m256",V,V,AVX
PTWRITE,F3 REX.W 0F AE /4,PTWRITE r64/m64,V,N.E.,
PTWRITE,F3 0F AE /4,PTWRITE r32/m32,V,V,
PUNPCKHBW,NP 0F 68 /r,"PUNPCKHBW mm, mm/m64",V,V,MMX
PUNPCKHBW,66 0F 68 /r,"PUNPCKHBW xmm1 , xmm2/m128",V,V,SSE2
PUNPCKHWD,NP 0F 69 /r,"PUNPCKHWD mm, mm/m64",V,V,MMX
PUNPCKHWD,66 0F 69 /r,"PUNPCKHWD xmm1 , xmm2/m128",V,V,SSE2
PUNPCKHDQ,NP 0F 6A /r,"PUNPCKHDQ mm,mm/m64",V,V,MMX
PUNPCKHDQ,66 0F 6A /r,"PUNPCKHDQ xmm1 , xmm2/m128",V,V,SSE2
PUNPCKHQDQ,66 0F 6D /r,"PUNPCKHQDQ xmm1 , xmm2/m128",V,V,SSE2
VPUNPCKHBW,VEX.128.66.0F.WIG 68 /r,"VPUNPCKHBW xmm1,xmm2, xmm3/m128",V,V,AVX
VPUNPCKHWD,VEX.128.66.0F.WIG 69 /r,"VPUNPCKHWD xmm1,xmm2, xmm3/m128",V,V,AVX
VPUNPCKHDQ,VEX.128.66.0F.WIG 6A /r,"VPUNPCKHDQ xmm1, xmm2, xmm3/m128",V,V,AVX
VPUNPCKHQDQ,VEX.128.66.0F.WIG 6D /r,"VPUNPCKHQDQ xmm1, xmm2, xmm3/m128",V,V,AVX
VPUNPCKHBW,VEX.256.66.0F.WIG 68 /r,"VPUNPCKHBW ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKHWD,VEX.256.66.0F.WIG 69 /r,"VPUNPCKHWD ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKHDQ,VEX.256.66.0F.WIG 6A /r,"VPUNPCKHDQ ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKHQDQ,VEX.256.66.0F.WIG 6D /r,"VPUNPCKHQDQ ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKHBW,EVEX.128.66.0F.WIG 68 /r,"VPUNPCKHBW xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPUNPCKHWD,EVEX.128.66.0F.WIG 69 /r,"VPUNPCKHWD xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPUNPCKHDQ,EVEX.128.66.0F.W0 6A /r,"VPUNPCKHDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VPUNPCKHQDQ,EVEX.128.66.0F.W1 6D /r,"VPUNPCKHQDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512F
VPUNPCKHBW,EVEX.256.66.0F.WIG 68 /r,"VPUNPCKHBW ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPUNPCKHWD,EVEX.256.66.0F.WIG 69 /r,"VPUNPCKHWD ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPUNPCKHDQ,EVEX.256.66.0F.W0 6A /r,"VPUNPCKHDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VPUNPCKHQDQ,EVEX.256.66.0F.W1 6D /r,"VPUNPCKHQDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512F
VPUNPCKHBW,EVEX.512.66.0F.WIG 68 /r,"VPUNPCKHBW zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPUNPCKHWD,EVEX.512.66.0F.WIG 69 /r,"VPUNPCKHWD zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPUNPCKHDQ,EVEX.512.66.0F.W0 6A /r,"VPUNPCKHDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst",V,V,AVX512F
VPUNPCKHQDQ,EVEX.512.66.0F.W1 6D /r,"VPUNPCKHQDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst",V,V,AVX512F
PUNPCKLBW,NP 0F 60 /r,"PUNPCKLBW mm, mm/m32",V,V,MMX
PUNPCKLBW,66 0F 60 /r,"PUNPCKLBW xmm1 , xmm2/m128",V,V,SSE2
PUNPCKLWD,NP 0F 61 /r,"PUNPCKLWD mm, mm/m32",V,V,MMX
PUNPCKLWD,66 0F 61 /r,"PUNPCKLWD xmm1 , xmm2/m128",V,V,SSE2
PUNPCKLDQ,NP 0F 62 /r,"PUNPCKLDQ mm, mm/m32",V,V,MMX
PUNPCKLDQ,66 0F 62 /r,"PUNPCKLDQ xmm1 , xmm2/m128",V,V,SSE2
PUNPCKLQDQ,66 0F 6C /r,"PUNPCKLQDQ xmm1 , xmm2/m128",V,V,SSE2
VPUNPCKLBW,VEX.128.66.0F.WIG 60 /r,"VPUNPCKLBW xmm1,xmm2, xmm3/m128",V,V,AVX
VPUNPCKLWD,VEX.128.66.0F.WIG 61 /r,"VPUNPCKLWD xmm1,xmm2, xmm3/m128",V,V,AVX
VPUNPCKLDQ,VEX.128.66.0F.WIG 62 /r,"VPUNPCKLDQ xmm1, xmm2, xmm3/m128",V,V,AVX
VPUNPCKLQDQ,VEX.128.66.0F.WIG 6C /r,"VPUNPCKLQDQ xmm1, xmm2, xmm3/m128",V,V,AVX
VPUNPCKLBW,VEX.256.66.0F.WIG 60 /r,"VPUNPCKLBW ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKLWD,VEX.256.66.0F.WIG 61 /r,"VPUNPCKLWD ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKLDQ,VEX.256.66.0F.WIG 62 /r,"VPUNPCKLDQ ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKLQDQ,VEX.256.66.0F.WIG 6C /r,"VPUNPCKLQDQ ymm1, ymm2, ymm3/m256",V,V,AVX2
VPUNPCKLBW,EVEX.128.66.0F.WIG 60 /r,"VPUNPCKLBW xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPUNPCKLWD,EVEX.128.66.0F.WIG 61 /r,"VPUNPCKLWD xmm1 {k1}{z}, xmm2, xmm3/m128",V,V,AVX512VL|AVX512BW
VPUNPCKLDQ,EVEX.128.66.0F.W0 62 /r,"VPUNPCKLDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VPUNPCKLQDQ,EVEX.128.66.0F.W1 6C /r,"VPUNPCKLQDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512F
VPUNPCKLBW,EVEX.256.66.0F.WIG 60 /r,"VPUNPCKLBW ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPUNPCKLWD,EVEX.256.66.0F.WIG 61 /r,"VPUNPCKLWD ymm1 {k1}{z}, ymm2, ymm3/m256",V,V,AVX512VL|AVX512BW
VPUNPCKLDQ,EVEX.256.66.0F.W0 62 /r,"VPUNPCKLDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VPUNPCKLQDQ,EVEX.256.66.0F.W1 6C /r,"VPUNPCKLQDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512F
VPUNPCKLBW,EVEX.512.66.0F.WIG 60 /r,"VPUNPCKLBW zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPUNPCKLWD,EVEX.512.66.0F.WIG 61 /r,"VPUNPCKLWD zmm1 {k1}{z}, zmm2, zmm3/m512",V,V,AVX512BW
VPUNPCKLDQ,EVEX.512.66.0F.W0 62 /r,"VPUNPCKLDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst",V,V,AVX512F
VPUNPCKLQDQ,EVEX.512.66.0F.W1 6C /r,"VPUNPCKLQDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst",V,V,AVX512F
PUSH,FF /6,PUSH r/m16,V,V,
PUSH,FF /6,PUSH r/m32,N.E.,V,
PUSH,FF /6,PUSH r/m64,V,N.E.,
PUSH,50 +rw,PUSH r16,V,V,
PUSH,50 +rd,PUSH r32,N.E.,V,
PUSH,50 +rd,PUSH r64,V,N.E.,
PUSH,6A /ib,PUSH imm8,V,V,
PUSH,68 iw,PUSH imm16,V,V,
PUSH,68 id,PUSH imm32,V,V,
PUSH,0E,PUSH CS,I,V,
PUSH,16,PUSH SS,I,V,
PUSH,1E,PUSH DS,I,V,
PUSH,06,PUSH ES,I,V,
PUSH,0F A0,PUSH FS,V,V,
PUSH,0F A8,PUSH GS,V,V,
PUSHA,60,PUSHA,I,V,
PUSHAD,60,PUSHAD,I,V,
PUSHF,9C,PUSHF,V,V,
PUSHFD,9C,PUSHFD,N.E.,V,
PUSHFQ,9C,PUSHFQ,V,N.E.,
PXOR,NP 0F EF /r,"PXOR mm, mm/m64",V,V,MMX
PXOR,66 0F EF /r,"PXOR xmm1 , xmm2/m128",V,V,SSE2
VPXOR,VEX.128.66.0F.WIG EF /r,"VPXOR xmm1, xmm2, xmm3/m128",V,V,AVX
VPXOR,VEX.256.66.0F.WIG EF /r,"VPXOR ymm1, ymm2, ymm3/m256",V,V,AVX2
VPXORD,EVEX.128.66.0F.W0 EF /r,"VPXORD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst",V,V,AVX512VL|AVX512F
VPXORD,EVEX.256.66.0F.W0 EF /r,"VPXORD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst",V,V,AVX512VL|AVX512F
VPXORD,EVEX.512.66.0F.W0 EF /r,"VPXORD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst",V,V,AVX512F
VPXORQ,EVEX.128.66.0F.W1 EF /r,"VPXORQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst",V,V,AVX512VL|AVX512F
VPXORQ,EVEX.256.66.0F.W1 EF /r,"VPXORQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst",V,V,AVX512VL|AVX512F
VPXORQ,EVEX.512.66.0F.W1 EF /r,"VPXORQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst",V,V,AVX512F
RCL,D0 /2,"RCL r/m8 , 1",V,V,
RCL,REX D0 /2,"RCL r/m8* , 1",V,N.E.,
RCL,D2 /2,"RCL r/m8 , CL",V,V,
RCL,REX D2 /2,"RCL r/m8* , CL",V,N.E.,
RCL,C0 /2 /ib,"RCL r/m8, imm8",V,V,
RCL,REX C0 /2 /ib,"RCL r/m8*, imm8",V,N.E.,
RCL,D1 /2,"RCL r/m16 , 1",V,V,
RCL,D3 /2,"RCL r/m16 , CL",V,V,
RCL,C1 /2 /ib,"RCL r/m16, imm8",V,V,
RCL,D1 /2,"RCL r/m32 , 1",V,V,
RCL,REX.W D1 /2,"RCL r/m64 , 1",V,N.E.,
RCL,D3 /2,"RCL r/m32 , CL",V,V,
RCL,REX.W D3 /2,"RCL r/m64 , CL",V,N.E.,
RCL,C1 /2 /ib,"RCL r/m32, imm8",V,V,
RCL,REX.W C1 /2 /ib,"RCL r/m64, imm8",V,N.E.,
RCR,D0 /3,"RCR r/m8 , 1",V,V,
RCR,REX D0 /3,"RCR r/m8* , 1",V,N.E.,
RCR,D2 /3,"RCR r/m8 , CL",V,V,
RCR,REX D2 /3,"RCR r/m8* , CL",V,N.E.,
RCR,C0 /3 /ib,"RCR r/m8, imm8",V,V,
RCR,REX C0 /3 /ib,"RCR r/m8*, imm8",V,N.E.,
RCR,D1 /3,"RCR r/m16 , 1",V,V,
RCR,D3 /3,"RCR r/m16 , CL",V,V,
RCR,C1 /3 /ib,"RCR r/m16, imm8",V,V,
RCR,D1 /3,"RCR r/m32 , 1",V,V,
RCR,REX.W D1 /3,"RCR r/m64 , 1",V,N.E.,
RCR,D3 /3,"RCR r/m32 , CL",V,V,
RCR,REX.W D3 /3,"RCR r/m64 , CL",V,N.E.,
RCR,C1 /3 /ib,"RCR r/m32, imm8",V,V,
RCR,REX.W C1 /3 /ib,"RCR r/m64, imm8",V,N.E.,
ROL,D0 /0,"ROL r/m8 , 1",V,V,
ROL,REX D0 /0,"ROL r/m8* , 1",V,N.E.,
ROL,D2 /0,"ROL r/m8 , CL",V,V,
ROL,REX D2 /0,"ROL r/m8* , CL",V,N.E.,
ROL,C0 /0 /ib,"ROL r/m8, imm8",V,V,
ROL,REX C0 /0 /ib,"ROL r/m8*, imm8",V,N.E.,
ROL,D1 /0,"ROL r/m16 , 1",V,V,
